n,epsilon,delta,m,resolution,repeats,raw_pair_separation_mean,raw_pair_separation_se,outer_fold_transformed_pair_separation_mean_mean,outer_fold_transformed_pair_separation_mean_se,clr_ridge_fixed_mae_mean,clr_ridge_fixed_mae_se,nn_fixed_mae_mean,nn_fixed_mae_se,pair_clr_ridge_mae_mean,pair_clr_ridge_mae_se,pair_nn_mae_mean,pair_nn_mae_se,equal_prediction_pair_floor_mean,equal_prediction_pair_floor_se,shared_contrast_clr_mae_mean,shared_contrast_clr_mae_se,shared_contrast_nn_mae_mean,shared_contrast_nn_mae_se,fine_contrast_clr_mae_mean,fine_contrast_clr_mae_se,naive_selected_mae_mean,naive_selected_mae_se,nested_selected_mae_mean,nested_selected_mae_se,selection_optimism_mean,selection_optimism_se,nested_selected_candidate_mean_mean,nested_selected_candidate_mean_se,all_simplex_ok,all_nested_outer_fold_isolation,all_nested_inner_fold_isolation
6,0.0,0.0,1,full_k3,200,0.0,0.0,0.0,0.0,0.026018648560663698,0.0005597496028216763,0.03979843963729728,0.0013730640859269574,0.019691204045977514,0.000716476666947678,0.0,0.0,0.0,0.0,0.03902797284099553,0.0008396244042325143,0.059697659455945934,0.002059596128890436,0.0,0.0,0.026018648560663698,0.0005597496028216763,0.026018648560663694,0.0005597496028216762,-1.222980050563649e-18,8.64484429074331e-19,0.0,0.0,True,True,True
6,0.0,0.0,1,pooled_k2,200,0.0,0.0,0.0,0.0,0.039027972840995545,0.0008396244042325143,0.059697659455945934,0.002059596128890436,0.029536806068966276,0.001074715000421517,0.0,0.0,0.0,0.0,0.03902797284099554,0.0008396244042325142,0.059697659455945934,0.002059596128890436,,,0.039027972840995545,0.0008396244042325143,0.039027972840995545,0.0008396244042325143,-1.0581813203458523e-18,1.4019152773523048e-18,0.0,0.0,True,True,True
6,0.0,0.0,5,full_k3,200,0.0,0.0,0.0,0.0,0.026018648560663698,0.0005597496028216763,0.03979843963729728,0.0013730640859269574,0.019691204045977514,0.000716476666947678,0.0,0.0,0.0,0.0,0.03902797284099553,0.0008396244042325143,0.059697659455945934,0.002059596128890436,0.0,0.0,0.025968643900304515,0.0005563659875738895,0.030924805324354914,0.00121383042797189,0.004956161424050395,0.0010182961281086024,0.07416666666666666,0.016569966541249044,True,True,True
6,0.0,0.0,5,pooled_k2,200,0.0,0.0,0.0,0.0,0.039027972840995545,0.0008396244042325143,0.059697659455945934,0.002059596128890436,0.029536806068966276,0.001074715000421517,0.0,0.0,0.0,0.0,0.03902797284099554,0.0008396244042325142,0.059697659455945934,0.002059596128890436,,,0.03895296585045677,0.0008345489813608341,0.04638720798653237,0.0018207456419578351,0.007434242136075592,0.0015274441921629036,0.07416666666666666,0.016569966541249044,True,True,True
6,0.0,0.0,20,full_k3,200,0.0,0.0,0.0,0.0,0.026018648560663698,0.0005597496028216763,0.03979843963729728,0.0013730640859269574,0.019691204045977514,0.000716476666947678,0.0,0.0,0.0,0.0,0.03902797284099553,0.0008396244042325143,0.059697659455945934,0.002059596128890436,0.0,0.0,0.025864013684060855,0.0005542459625091366,0.04197511349724356,0.0018614939869781987,0.016111099813182702,0.001660099666768396,1.1441666666666666,0.14066265315747398,True,True,True
6,0.0,0.0,20,pooled_k2,200,0.0,0.0,0.0,0.0,0.039027972840995545,0.0008396244042325143,0.059697659455945934,0.002059596128890436,0.029536806068966276,0.001074715000421517,0.0,0.0,0.0,0.0,0.03902797284099554,0.0008396244042325142,0.059697659455945934,0.002059596128890436,,,0.03879602052609128,0.0008313689437637047,0.06296267024586534,0.002792240980467298,0.02416664971977406,0.0024901495001525948,1.1441666666666666,0.14066265315747398,True,True,True
6,0.0,0.6,1,full_k3,200,0.0,0.0,0.0,0.0,0.05583317929374758,0.0005132729676648624,0.10008460975171549,0.001514651015499074,0.11195496378749702,0.0008696675943137385,0.15635384025705648,1.967540588810701e-18,0.07817692012852824,9.837702944053505e-19,0.03909192348533966,0.0009378079303324045,0.05787859469228777,0.002042541977226294,0.1006353273490302,0.0006722146825695049,0.05583317929374758,0.0005132729676648624,0.055833179293747565,0.0005132729676648624,5.551115123125783e-19,8.858850135531105e-19,0.0,0.0,True,True,True
6,0.0,0.6,1,pooled_k2,200,0.0,0.0,0.0,0.0,0.03961099695033557,0.0009439116333895687,0.05787859469228776,0.002042541977226294,0.032711689042298826,0.0011193706284261815,0.0,0.0,0.0,0.0,0.03961099695033555,0.0009439116333895682,0.05787859469228777,0.002042541977226294,,,0.03961099695033557,0.0009439116333895687,0.03961099695033557,0.0009439116333895687,1.240327285323417e-18,1.5528565338344454e-18,0.0,0.0,True,True,True
6,0.0,0.6,5,full_k3,200,0.0,0.0,0.0,0.0,0.05583317929374758,0.0005132729676648624,0.10008460975171549,0.001514651015499074,0.11195496378749702,0.0008696675943137385,0.15635384025705648,1.967540588810701e-18,0.07817692012852824,9.837702944053505e-19,0.03909192348533966,0.0009378079303324045,0.05787859469228777,0.002042541977226294,0.1006353273490302,0.0006722146825695049,0.05579268860840637,0.0005116713778357497,0.06113729852190147,0.0012271983581008297,0.00534460991349511,0.001055198255039861,0.08583333333333332,0.019839441369046806,True,True,True
6,0.0,0.6,5,pooled_k2,200,0.0,0.0,0.0,0.0,0.03961099695033557,0.0009439116333895687,0.05787859469228776,0.002042541977226294,0.032711689042298826,0.0011193706284261815,0.0,0.0,0.0,0.0,0.03961099695033555,0.0009439116333895682,0.05787859469228777,0.002042541977226294,,,0.03951721700234815,0.0009397962773962554,0.04888310133354264,0.0021443594801915334,0.009365884331194486,0.0017999482278522828,0.09666666666666666,0.020441798192539235,True,True,True
6,0.0,0.6,20,full_k3,200,0.0,0.0,0.0,0.0,0.05583317929374758,0.0005132729676648624,0.10008460975171549,0.001514651015499074,0.11195496378749702,0.0008696675943137385,0.15635384025705648,1.967540588810701e-18,0.07817692012852824,9.837702944053505e-19,0.03909192348533966,0.0009378079303324045,0.05787859469228777,0.002042541977226294,0.1006353273490302,0.0006722146825695049,0.05567579690174588,0.0005081685689863161,0.07313209481218833,0.001946736272955915,0.01745629791044245,0.0017819376196676756,1.479166666666667,0.1653378243939391,True,True,True
6,0.0,0.6,20,pooled_k2,200,0.0,0.0,0.0,0.0,0.03961099695033557,0.0009439116333895687,0.05787859469228776,0.002042541977226294,0.032711689042298826,0.0011193706284261815,0.0,0.0,0.0,0.0,0.03961099695033555,0.0009439116333895682,0.05787859469228777,0.002042541977226294,,,0.03917395968063467,0.0009336571655112378,0.07071900817543124,0.0035877963864218722,0.03154504849479657,0.0031583106958743322,1.6091666666666666,0.1700682914528081,True,True,True
6,0.0,1.2,1,full_k3,200,0.0,0.0,0.0,0.0,0.08837783408410789,0.0004983379343008096,0.16009706894880615,0.001968876067210484,0.20795542497016237,0.0012192450943217734,0.2950440426160856,0.0,0.1475220213080428,0.0,0.045718452770670236,0.0007939286886937978,0.06083567206831489,0.0021042529323277927,0.1908260108405728,0.0010861702111207173,0.08837783408410789,0.0004983379343008096,0.08837783408410789,0.0004983379343008095,-6.938893903907229e-20,1.1323939661199023e-18,0.0,0.0,True,True,True
6,0.0,1.2,1,pooled_k2,200,0.0,0.0,0.0,0.0,0.04809358643072871,0.000875420604009579,0.06083567206831489,0.0021042529323277927,0.04588004029917826,0.0009562650771210991,0.0,0.0,0.0,0.0,0.04809358643072871,0.000875420604009579,0.06083567206831489,0.0021042529323277927,,,0.04809358643072871,0.000875420604009579,0.04809358643072871,0.000875420604009579,8.500145032286355e-19,1.4863759748617457e-18,0.0,0.0,True,True,True
6,0.0,1.2,5,full_k3,200,0.0,0.0,0.0,0.0,0.08837783408410789,0.0004983379343008096,0.16009706894880615,0.001968876067210484,0.20795542497016237,0.0012192450943217734,0.2950440426160856,0.0,0.1475220213080428,0.0,0.045718452770670236,0.0007939286886937978,0.06083567206831489,0.0021042529323277927,0.1908260108405728,0.0010861702111207173,0.08832309151236195,0.0005013929741271807,0.09402157821846739,0.001182466541079529,0.005698486706105463,0.0010665724790455138,0.15166666666666667,0.03164020758310114,True,True,True
6,0.0,1.2,5,pooled_k2,200,0.0,0.0,0.0,0.0,0.04809358643072871,0.000875420604009579,0.06083567206831489,0.0021042529323277927,0.04588004029917826,0.0009562650771210991,0.0,0.0,0.0,0.0,0.04809358643072871,0.000875420604009579,0.06083567206831489,0.0021042529323277927,,,0.04784905248135656,0.0008786958255444695,0.0609602809656816,0.0024983496599531776,0.013111228484325041,0.0022261677988597347,0.18,0.0330465046329166,True,True,True
